,INCIDENT_DATE,AIRPORT_ID,AIRPORT,ATYPE,TYPE_ENG,SPECIES,DAMAGE,NUM_ENGS,TIME_OF_DAY,ENROUTE,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED
5798,2011-09-09,KOAK,METRO OAKLAND INTL,B-737-700,Turbofan,Unknown bird - small,None,2.0,Night,,,1000.0,140.0,,Approach,No Cloud,None,,1,Small,N
5799,2011-09-09,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-700,Turbofan,Unknown bird - medium,None,2.0,Night,,,6000.0,220.0,,Approach,Some Cloud,None,,1,Medium,N
5800,2011-09-09,KLAX,LOS ANGELES INTL,A-320,Turbofan,Unknown bird - large,None,2.0,Night,,,1200.0,140.0,3.0,Approach,Some Cloud,None,1,1,Large,N
5801,2011-09-08,KMHR,SACRAMENTO MATHER ARPT,EMB-135,Turbofan,Unknown bird - small,None,2.0,Day,,,5.0,135.0,0.0,Approach,No Cloud,None,,1,Small,N
5802,2011-09-07,KVNY,VAN NUYS ARPT,UNKNOWN,,Mourning dove,,,,,,,,0.0,,,,,1,Small,
5803,2011-09-07,KLAX,LOS ANGELES INTL,A-300,Turbofan,Mourning dove,Minor,2.0,Night,,,9000.0,,,Descent,No Cloud,None,,1,Small,
5804,2011-09-07,KLAX,LOS ANGELES INTL,B-757-200,Turbofan,Unknown bird - small,None,2.0,Night,,,1800.0,140.0,6.0,Approach,No Cloud,None,1,1,Small,N
5805,2011-09-07,KSMF,SACRAMENTO INTL,B-767-300,Turbofan,Unknown bird - large,None,2.0,Night,,,1500.0,200.0,,Approach,No Cloud,None,,1,Large,N
5806,2011-09-07,KBUR,BOB HOPE ARPT,B-737-300,Turbofan,Rock pigeon,None,2.0,Day,,,5.0,150.0,0.0,Climb,No Cloud,None,2 to 10,1,Small,N
5807,2011-09-07,KTOA,ZAMPERINI FIELD ARPT,HUGHES 269A,Reciprocating,Unknown bird - small,None,1.0,Day,,,3.0,4.0,0.0,Taxi,No Cloud,None,1,1,Small,Y
5808,2011-09-07,KNUQ,MOFFETT FEDERAL AIRFIELD,C-130,Turboprop,Black-necked stilt,None,4.0,,,,400.0,,,Landing,,,,,Small,
5809,2011-09-06,KSMF,SACRAMENTO INTL,A-320,Turbofan,Unknown bird,None,2.0,Day,,,50.0,140.0,0.0,Approach,No Cloud,None,1,1,,
5810,2011-09-06,KSMF,SACRAMENTO INTL,B-737-700,Turbofan,Brazilian free-tailed bat,None,2.0,Night,,,500.0,135.0,,Approach,No Cloud,None,,1,Small,Y
5811,2011-09-04,KEMT,EL MONTE ARPT,AA-5,Reciprocating,Rock pigeon,None,1.0,Day,,,2.0,40.0,0.0,Approach,Some Cloud,None,11 to 100,11 to 100,Small,Y
5812,2011-09-04,KOAK,METRO OAKLAND INTL,B-737-700,Turbofan,Barn swallow,None,2.0,Day,,,40.0,130.0,0.0,Approach,Overcast,None,,1,Small,Y
5813,2011-09-04,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,B-737-700,Turbofan,Burrowing owl,None,2.0,Night,,,0.0,120.0,0.0,Landing Roll,No Cloud,None,1,1,Small,Y
5814,2011-09-02,KVNY,VAN NUYS ARPT,C-172,Reciprocating,Mourning dove,None,1.0,Day,,,50.0,40.0,0.0,Approach,No Cloud,None,,1,Small,N
5815,2011-09-02,KSMF,SACRAMENTO INTL,B-737-700,Turbofan,Unknown bird - small,None,2.0,Night,,,1200.0,,5.0,Approach,No Cloud,None,1,1,Small,Y
5816,2011-09-02,KSMF,SACRAMENTO INTL,B-737-300,Turbofan,Brazilian free-tailed bat,None,2.0,Night,,,1000.0,122.0,,Approach,No Cloud,None,1,1,Small,Y
5817,2011-09-02,KONT,ONTARIO INTL ARPT,UNKNOWN,,Barn swallow,,,,,,,,0.0,,,,,1,Small,
5818,2011-09-02,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,White-tailed kite,,,,,,,,0.0,,,,,1,Small,
5819,2011-09-01,KSMF,SACRAMENTO INTL,B-767-300,Turbofan,Unknown bird - small,None,2.0,Night,,,1700.0,185.0,,Approach,No Cloud,None,2 to 10,1,Small,Y
5820,2011-09-01,KSFO,SAN FRANCISCO INTL ARPT,A-320,Turbofan,Great blue heron,None,2.0,Day,,,0.0,110.0,0.0,Landing Roll,Overcast,None,1,1,Large,Y
5821,2011-09-01,KSFO,SAN FRANCISCO INTL ARPT,B-737-700,Turbofan,Unknown bird,None,2.0,Dusk,,,4000.0,190.0,,Approach,No Cloud,None,,1,,N
5822,2011-08-31,KBUR,BOB HOPE ARPT,B-737-700,Turbofan,Unknown bird,None,2.0,Night,,,300.0,150.0,,Approach,No Cloud,None,,1,,Y
5823,2011-08-31,KSMF,SACRAMENTO INTL,EMB-120,Turboprop,Unknown bird,None,2.0,Day,,,0.0,,0.0,Landing Roll,No Cloud,None,,1,,Y
5824,2011-08-31,KLGB,LONG BEACH-DAUGH FLD,C-340,Reciprocating,Mourning dove,None,2.0,Dusk,,,,,0.0,Approach,No Cloud,None,,1,Small,
5825,2011-08-30,KBUR,BOB HOPE ARPT,B-737-700,Turbofan,Rock pigeon,None,2.0,Day,,,0.0,100.0,0.0,Take-off run,No Cloud,None,2 to 10,2 to 10,Small,Y
5826,2011-08-29,KLAX,LOS ANGELES INTL,B-737-800,Turbofan,Unknown bird - medium,None,2.0,Dusk,,,3500.0,180.0,10.0,Approach,No Cloud,None,1,1,Medium,N
5827,2011-08-29,KSMF,SACRAMENTO INTL,B-737-300,Turbofan,Brazilian free-tailed bat,None,2.0,Night,,,1500.0,150.0,3.0,Approach,No Cloud,None,1,1,Small,Y
5828,2011-08-28,KLAX,LOS ANGELES INTL,B-757-200,Turbofan,Barn owl,None,2.0,Night,,,0.0,50.0,0.0,Landing Roll,No Cloud,None,1,1,Small,N
5829,2011-08-27,KSMF,SACRAMENTO INTL,A-320,Turbofan,Unknown bird,None,2.0,Day,,,0.0,,0.0,Landing Roll,,,,1,,
5830,2011-08-26,KBUR,BOB HOPE ARPT,CITATIONJET,Turbofan,Rock pigeon,None,2.0,Day,,,28.0,130.0,0.0,Approach,,None,1,1,Small,Y
5831,2011-08-25,KSMF,SACRAMENTO INTL,B-737-800,Turbofan,Cliff swallow,None,2.0,Day,,,,,,Descent,No Cloud,None,1,1,Small,Y
5832,2011-08-25,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,CL-600,Turbofan,American kestrel,None,2.0,Day,,,,,,Approach,No Cloud,None,,1,Small,Y
5833,2011-08-25,KSMF,SACRAMENTO INTL,A-319,Turbofan,Unknown bird - small,None,2.0,Night,,,2000.0,180.0,6.0,Approach,No Cloud,None,,1,Small,N
5834,2011-08-24,KSFO,SAN FRANCISCO INTL ARPT,EMB-120,Turboprop,Black-bellied plover,,2.0,,,,0.0,,0.0,Take-off run,,,,1,Small,
5835,2011-08-24,KSMF,SACRAMENTO INTL,DC-10,Turbofan,Unknown bird - small,None,3.0,Night,,,1500.0,,,Approach,No Cloud,None,1,1,Small,
5836,2011-08-23,KSMF,SACRAMENTO INTL,A-320,Turbofan,Unknown bird,None,2.0,Night,,,,,,Approach,,,,1,,
5837,2011-08-23,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,MD-83,Turbofan,Unknown bird - small,None,2.0,Day,,,500.0,180.0,1.0,Climb,No Cloud,,2 to 10,1,Small,N
5838,2011-08-23,KLAX,LOS ANGELES INTL,A-319,Turbofan,Red-tailed hawk,None,2.0,Day,,,0.0,70.0,0.0,Take-off run,No Cloud,None,1,1,Medium,
5839,2011-08-22,KOAK,METRO OAKLAND INTL,B-737-300,Turbofan,Unknown bird - small,None,2.0,Night,,,1300.0,150.0,,Approach,No Cloud,None,1,1,Small,Y
5840,2011-08-20,KLGB,LONG BEACH-DAUGH FLD,A-320,Turbofan,Unknown bird,None,2.0,Night,,,70.0,,0.0,Approach,,,1,1,,
5841,2011-08-19,KSMF,SACRAMENTO INTL,B-757-200,Turbofan,Brazilian free-tailed bat,None,2.0,Night,,,50.0,,0.0,Approach,No Cloud,None,1,1,Small,Y
